,movieId,rating,title,genres
0,88448,5.0,Paper Birds (Pájaros de papel) (2010),Comedy|Drama
1,100556,5.0,"Act of Killing, The (2012)",Documentary
2,143031,5.0,Jump In! (2007),Comedy|Drama|Romance
3,143511,5.0,Human (2015),Documentary
4,143559,5.0,L.A. Slasher (2015),Comedy|Crime|Fantasy
5,6201,5.0,Lady Jane (1986),Drama|Romance
6,102217,5.0,Bill Hicks: Revelations (1993),Comedy
7,102084,5.0,Justice League: Doom (2012) ,Action|Animation|Fantasy
8,6192,5.0,Open Hearts (Elsker dig for evigt) (2002),Romance
9,145994,5.0,Formula of Love (1984),Comedy
10,100906,5.0,Maniac Cop 2 (1990),Action|Horror|Thriller
11,146662,5.0,Dragons: Gift of the Night Fury (2011),Adventure|Animation|Comedy
12,99636,5.0,English Vinglish (2012),Comedy|Drama
13,31522,5.0,"Marriage of Maria Braun, The (Ehe der Maria Braun, Die) (1979)",Drama
14,146684,5.0,Cosmic Scrat-tastrophe (2015),Animation|Children|Comedy
15,147196,5.0,The Girls (1961),Comedy|Romance
16,147250,5.0,The Adventures of Sherlock Holmes and Doctor Watson,(no genres listed)
17,147286,5.0,The Adventures of Sherlock Holmes and Doctor Watson: The Treasures of Agra (1983),Crime|Mystery
18,147300,5.0,Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches (1986),Crime|Mystery
19,147326,5.0,The Adventures of Sherlock Holmes and Doctor Watson: King of Blackmailers (1980),Crime|Mystery
20,147328,5.0,The Adventures of Sherlock Holmes and Dr. Watson: Bloody Signature (1979),Crime
21,67618,5.0,Strictly Sexual (2008),Comedy|Drama|Romance
22,4495,5.0,Crossing Delancey (1988),Comedy|Romance
23,103602,5.0,Craig Ferguson: I'm Here To Help (2013),Comedy|Documentary
24,64501,5.0,Che: Part Two (2008),Drama|War
25,64499,5.0,Che: Part One (2008),Drama|War
26,140133,5.0,Hollywood Chainsaw Hookers (1988),Comedy|Horror
27,140265,5.0,George Carlin: Jammin' in New York (1992),Comedy
28,6408,5.0,Animals are Beautiful People (1974),Comedy|Documentary
29,6402,5.0,Siam Sunset (1999),Comedy
30,60737,5.0,Watching the Detectives (2007),Comedy|Romance
31,140627,5.0,Battle For Sevastopol (2015),Drama|Romance|War
32,33649,5.0,Saving Face (2004),Comedy|Drama|Romance
33,141718,5.0,Deathgasm (2015),Comedy|Horror
34,104780,5.0,"Mystery of the Third Planet, The (Tayna tretey planety) (1981)",Adventure|Animation|Sci-Fi
35,141816,5.0,12 Chairs (1976),Adventure|Comedy
36,3795,5.0,"Five Senses, The (1999)",Drama
37,3792,5.0,Duel in the Sun (1946),Drama|Romance|Western
38,4454,5.0,More (1998),Animation|Drama|Sci-Fi|IMAX
39,2512,5.0,"Ballad of Narayama, The (Narayama bushiko) (1983)",Drama
40,141928,5.0,Bloodsucking Bastards (2015),Comedy|Horror
41,33138,5.0,Palindromes (2004),Adventure|Comedy|Drama
42,142020,5.0,Oscar (1967),Comedy
43,2824,5.0,On the Ropes (1999),Documentary|Drama
44,142444,5.0,The Editor (2015),Comedy|Horror|Mystery
45,147330,5.0,Sherlock Holmes and Dr. Watson: Acquaintance (1979),Crime
46,3687,5.0,Light Years (Gandahar) (1988),Adventure|Animation|Fantasy|Sci-Fi
47,162414,5.0,Moonlight,Drama
48,157775,5.0,Tenchi Muyô! In Love (1996),Animation|Comedy
49,27320,5.0,"Nine Lives of Tomas Katz, The (2000)",Comedy|Drama|Fantasy
50,152711,5.0,Who Killed Chea Vichea? (2010),Documentary
51,71268,5.0,Tyler Perry's I Can Do Bad All by Myself (2009),Comedy|Drama
52,26928,5.0,"Summer's Tale, A (Conte d'été) (1996)",Comedy|Drama|Romance
53,156025,5.0,Ice Age: The Great Egg-Scapade (2016),Adventure|Animation|Children|Comedy
54,26849,5.0,"Stand, The (1994)",Adventure|Drama|Fantasy|Horror|Sci-Fi
55,72142,5.0,Love Exposure (Ai No Mukidashi) (2008),Action|Comedy|Drama|Romance
56,26840,5.0,Sonatine (Sonachine) (1993),Action|Comedy|Crime|Drama
57,96430,5.0,"Odd Life of Timothy Green, The (2012)",Comedy|Drama|Fantasy
58,158027,5.0,SORI: Voice from the Heart (2016),Drama|Sci-Fi
59,876,5.0,Supercop 2 (Project S) (Chao ji ji hua) (1993),Action|Comedy|Crime|Thriller
60,3073,5.0,"Sandpiper, The (1965)",Drama|Romance
61,158398,5.0,World of Glory (1991),Comedy
62,158882,5.0,All Yours (2016),Comedy|Drama|Romance
63,72692,5.0,Mickey's Once Upon a Christmas (1999),Animation|Comedy|Fantasy
64,159811,5.0,The Bremen Town Musicians (1969),Animation|Drama|Fantasy
65,95843,5.0,Goodbye Charlie (1964),Comedy|Fantasy|Romance
66,73822,5.0,Meantime (1984),Comedy|Drama
67,160644,5.0,Indignation (2016),Drama
68,74226,5.0,"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)",Documentary|Drama
69,96608,5.0,Runaway Brain (1995) ,Animation|Comedy|Sci-Fi
70,3637,5.0,Vagabond (Sans toit ni loi) (1985),Drama
71,96832,5.0,Holy Motors (2012),Drama|Fantasy|Musical|Mystery|Sci-Fi
72,151769,5.0,Three from Prostokvashino (1978),Animation
73,147410,5.0,A Perfect Day (2015),Comedy|Drama
74,6086,5.0,"I, the Jury (1982)",Crime|Drama|Thriller
75,27751,5.0,'Salem's Lot (2004),Drama|Horror|Mystery|Thriller
76,69211,5.0,Boy Eats Girl (2005),Comedy|Horror
77,4788,5.0,Moscow Does Not Believe in Tears (Moskva slezam ne verit) (1979),Drama|Romance
78,3678,5.0,"Man with the Golden Arm, The (1955)",Drama
79,6021,5.0,"American Friend, The (Amerikanische Freund, Der) (1977)",Crime|Drama|Mystery|Thriller
80,27704,5.0,Battle Royale 2: Requiem (Batoru rowaiaru II: Chinkonka) (2003),Action|Drama|Thriller|War
81,69469,5.0,Garfield's Pet Force (2009),Animation
82,69860,5.0,Eichmann (2007),Drama|War
83,4813,5.0,When Worlds Collide (1951),Sci-Fi
84,149350,5.0,Lumberjack Man (2015),Comedy|Horror
85,149508,5.0,Spellbound (2011),Comedy|Romance
86,149566,5.0,Unicorn City (2012),Comedy|Romance
87,150554,5.0,The Love Bug (1997),Adventure|Children|Comedy|Fantasy
88,27523,5.0,My Sassy Girl (Yeopgijeogin geunyeo) (2001),Comedy|Romance
89,96935,5.0,My Left Eye Sees Ghosts (Ngo joh aan gin diy gwai) (2002),Comedy|Fantasy|Romance
90,70451,5.0,Max Manus (2008),Action|Drama|War
91,27373,5.0,61* (2001),Drama
92,34312,5.0,"Calcium Kid, The (2004)",Comedy
93,139640,5.0,Ooops! Noah is Gone... (2015),Animation
94,138966,5.0,Nasu: Summer in Andalusia (2003),Animation
95,44943,5.0,9/11 (2002),Documentary
96,1759,5.0,"Four Days in September (O Que É Isso, Companheiro?) (1997)",Drama
97,47736,5.0,"Chump at Oxford, A (1940)",Comedy
98,112512,5.0,Colourful (Karafuru) (2010),Animation|Drama|Fantasy|Mystery
99,124404,5.0,"Snowflake, the White Gorilla (2011)",Adventure|Animation|Children|Comedy
100,124851,5.0,Delirium (2014),Adventure|Romance|Sci-Fi
101,126088,5.0,A Flintstones Christmas Carol (1994),Animation|Children|Comedy
102,45503,5.0,Peaceful Warrior (2006),Drama
103,126921,5.0,The Fox and the Hound 2 (2006),Adventure|Animation|Children|Comedy
104,1631,5.0,"Assignment, The (1997)",Action|Thriller
105,44851,5.0,Go for Zucker! (Alles auf Zucker!) (2004),Comedy
106,138835,5.0,Return to Treasure Island (1988),Adventure|Animation|Comedy
107,128087,5.0,Trinity and Sartana Are Coming (1972),Comedy|Western
108,496,5.0,What Happened Was... (1994),Comedy|Drama|Romance|Thriller
109,495,5.0,In the Realm of the Senses (Ai no corrida) (1976),Drama
110,109687,5.0,Particle Fever (2013),Documentary
